"codebook","name","category","num"
"101","Blindness ","Eye",101
"102"," Cataracts ","Eye",102
"103"," Glaucoma ","Eye",103
"104"," Keratoconjunctivitis sicca (KCS) ","Eye",104
"107"," Third eyelid prolapse (cherry eye) ","Eye",107
"108"," Conjunctivitis ","Eye",108
"109"," Corneal ulcer ","Eye",109
"112"," Entropion (eyelid rolled in) ","Eye",112
"115"," Juvenile cataracts ","Eye",115
"116"," Nuclear sclerosis ","Eye",116
"118"," Progressive retinal atrophy ","Eye",118
"120"," Uveitis ","Eye",120
"198"," Other eye condition ","Eye",198
"201"," Deafness ","Ear/Nose/Throat",201
"202"," Ear Infection ","Ear/Nose/Throat",202
"203"," Ear Mites ","Ear/Nose/Throat",203
"205"," Hearing loss (incompletely deaf) ","Ear/Nose/Throat",205
"206"," Hematoma ","Ear/Nose/Throat",206
"208"," Rhinitis ","Ear/Nose/Throat",208
"298"," Other ear condition ","Ear/Nose/Throat",298
"304"," Dental calculus (yellow build-up on teeth) ","Mouth/Dental/Oral",304
"305"," Extracted teeth ","Mouth/Dental/Oral",305
"306"," Fractured teeth ","Mouth/Dental/Oral",306
"307"," Gingivitis (red, puffy gums) ","Mouth/Dental/Oral",307
"310"," Overbite ","Mouth/Dental/Oral",310
"311"," Retained deciduous (baby) teeth ","Mouth/Dental/Oral",311
"313"," Underbite ","Mouth/Dental/Oral",313
"398"," Other oral condition ","Mouth/Dental/Oral",398
"403"," Umbilical hernia (Skin) ","Skin",403
"404"," Alopecia (hair loss) ","Skin",404
"405"," Atopic dermatitis (atopy) ","Skin",405
"406"," Chronic or recurrent hot spots ","Skin",406
"407"," Chronic or recurrent skin infections ","Skin",407
"408"," Contact dermatitis ","Skin",408
"410"," Flea allergy dermatitis ","Skin",410
"411"," Fleas ","Skin",411
"412"," Food or medicine allergies that affect the skin ","Skin",412
"414"," Lick granuloma ","Skin",414
"415"," Non-specific dermatosis ","Skin",415
"423"," Pruritis (itchy skin) ","Skin",423
"424"," Pyoderma or bacterial dermatitis ","Skin",424
"425"," Sarcoptic mange ","Skin",425
"426"," Seasonal allergies ","Skin",426
"428"," Sebaceous cysts ","Skin",428
"429"," Seborrhea or seborrheic dermatitis (greasy skin) ","Skin",429
"430"," Systemic demodectic mange ","Skin",430
"432"," Ticks ","Skin",432
"498"," Other skin condition ","Skin",498
"504"," Murmur ","Cardiac",504
"510"," Arrhythmia ","Cardiac",510
"511"," Cardiomyopathy ","Cardiac",511
"512"," Congestive heart failure ","Cardiac",512
"514"," Hypertension (high blood pressure) ","Cardiac",514
"519"," Valve disease ","Cardiac",519
"598"," Other Cardiac ","Cardiac",598
"602"," Tracheal stenosis (narrowing) ","Respiratory",602
"604"," Chronic or recurrent bronchitis ","Respiratory",604
"605"," Chronic or recurrent cough ","Respiratory",605
"608"," Laryngeal paralysis (Respiratory) ","Respiratory",608
"610"," Pneumonia ","Respiratory",610
"612"," Tracheal collapse ","Respiratory",612
"698"," Other respiratory condition ","Respiratory",698
"704"," Umbilical hernia (Gastrointestinal) ","Gastrointestinal",704
"705"," Anal sac impaction ","Gastrointestinal",705
"706"," Bilious vomiting syndrome ","Gastrointestinal",706
"707"," Bloat with torsion (GDV) ","Gastrointestinal",707
"708"," Chronic or recurrent diarrhea ","Gastrointestinal",708
"709"," Chronic or recurrent vomiting ","Gastrointestinal",709
"710"," Constipation ","Gastrointestinal",710
"711"," Fecal incontinence ","Gastrointestinal",711
"712"," Food or medicine allergies ","Gastrointestinal",712
"713"," Foreign body ingestion or blockage ","Gastrointestinal",713
"714"," Hemorrhagic gastroenteritis (HGE) or stress colitis (acute) ","Gastrointestinal",714
"719"," Other allergies ","Gastrointestinal",719
"798"," Other gastrointestinal condition ","Gastrointestinal",798
"803"," Chronic inflammatory liver disease ","Liver/Pancreas",803
"809"," Pancreatitis ","Liver/Pancreas",809
"898"," Other liver condition ","Liver/Pancreas",898
"906"," Acute kidney failure ","Kidney/Urinary",906
"908"," Chronic kidney disease ","Kidney/Urinary",908
"911"," Proteinuria ","Kidney/Urinary",911
