"","mixed.breed","dd_weight_lbs","dd_age_years","recode.sex_2","recode.sex_4","recode.sex_3"
"X101",0.227436668592985,-0.0132287862720134,-0.223611373393147,0.060008402689274,0,-0.415374230188142
"X102",0.378502102936051,-0.00744258030247242,0,0,0.144955112451709,-0.230533301057593
"X103",0.280746958796881,-0.00671380130541422,-0.215029447653795,-0.604172607984069,0.0201118953738346,-0.265076201844336
"X104",0.144482791511553,-0.0192649594140782,0,-0.130298371750135,0.0919132446734591,-0.90935257464239
"X107",-0.0122903732065678,-0.00664153706042167,-0.250800378937171,0.00714923796445371,0,-0.195596034261816
"X108",-0.0692338325499767,0,0,0,0,0
"X109",0.130431309317924,-0.011188587376393,0,0.650017517499009,0.241641506483829,-0.631462526802847
"X112",-0.0286380839230335,0.0214693119951894,0,0.18596458935578,0.13329975885869,-0.919683196694847
"X115",0,0,0,0,0,-0.495760035033906
"X116",0.276903800013344,-0.00511690798568682,0,0,0,0.17218374547165
"X118",0.147286272560042,0,0,0,0,-0.0950800115029904
"X120",0.120571732834104,0.00177509228434956,0,0,0,-0.357925612275741
"X198",0.0830322379610305,0.00053450263001323,-0.0933352440089763,0.00918162821058238,0,-0.348867221616316
"X201",0.324762124106653,-0.00753995050218409,-0.0275785672156486,0,0,-0.110689444769862
"X202",0.031467432769543,0.0109646362689166,0,-0.206959970345647,0.101431142122294,-0.284290488772254
"X203",0,0,0,0,0,0
"X205",0.470121666113848,-0.00453134895104316,0,-0.326515191987347,0.0776114604185767,-0.176649861823058
"X206",0.1790141105692,0.017727291967253,0,0.32005231651731,0,0
"X208",0.0334756218905589,-0.00581356019829071,0,0,0,0
"X298",0.0329214638889471,0.000947514742476494,0,-0.26350343098681,0.042287845126447,-0.161735585268929
"X304",0.152283510146842,-0.0154575108190402,0,-0.141378661794574,0.0902505294310189,-0.0298557144813216
"X305",0.18559309692142,-0.029118363746966,0.289591331130995,0,0.359348629910456,-0.129845536045259
"X306",0.104182868505291,0.00182010362785896,0.145199059521285,0,0,0.139855138162806
"X307",0.145715129184933,-0.0128247921607475,0,0,0.199763720547143,-0.167147651042018
"X310",0,-0.0116032855208169,0,0,0,-0.263922909470116
"X311",-0.139163149274301,-0.0589338136821698,-0.168419718806246,0.424099066731183,0.21225247097213,-0.464284269355339
"X313",-0.0320266602251692,-0.0318920090982945,0,-0.380400041496476,0.173208031974554,0.693148648281192
"X398",0.0608053302653593,-0.00174446851356691,-0.1367190177605,0.225207567782613,0,-0.213549173238452
"X403",-0.0392942003586818,-0.000624990908066754,0,0.351736900042448,0,-0.438917064102195
"X404",0.0536439041239928,-0.0013238671455957,0.00433216849442851,-0.825496995330329,0,-0.139241687196929
"X405",0.0108603458168018,0.00181353020041217,0,0,0.0503346786933173,0.000371272752435304
"X406",0.0914184203552561,0.0129257104812281,0,0.245166415155125,0.231581232063667,-0.0894775452124222
"X407",0.0932736910795668,0.00880883411160006,0,0,0.144244410759557,-0.231469416552079
"X408",-0.00083593426204391,0.00559422214729293,0.910871570403362,0.759097190314947,0.983731635681964,-0.0436275869623314
"X410",0.0777615720550259,-0.0030418763906234,-0.149354171997525,0.034674777985738,0,0.279695028775769
"X411",0.046820448784139,-0.00472656941512658,-0.131895036993356,0.119999650536019,0,0.345262269535827
"X412",0,0.00671329786169435,0,0,0.26427509872575,0
"X414",0.147667191294288,0.0146313398853765,-0.147446060094618,0.568685331914986,0,0.0695939485050617
"X415",0,0.00774728654996258,0.184047235745056,-0.457488580810742,0,0.174251963749018
"X423",0,0,0,0,0.0521792756540527,0.109374759090993
"X424",0,0.00486152679859099,0,0,-0.163984489260059,-0.375949560907635
"X425",0,0,0,0,0,0.6676003336704
"X426",0.0117108702055911,0.0035655103560838,0.350890488877492,0,0.442157306029369,0.0668547140276145
"X428",0.154801994695497,0.00421876482520223,0.129640268511579,-0.362739023326495,0,-0.0913387991402877
"X429",0.0790694196114171,0,0,0,0,0
"X430",-0.0369845294287098,0.00508093275409601,0,-0.739005673843375,0,0.836745150040884
"X432",0.031469533581907,0.00252992423594434,0,0.638877532868009,-0.040169105772932,0.210241615961886
"X498",0.0210237755916562,0.00268524145854646,0,0,0,0
"X504",0.165684242326942,-0.0197715816363119,-0.188585163653773,0.368489088740042,0,-0.102510907688189
"X510",0.163446750929222,0.00441248127347543,-0.115042261160557,0.707241039314096,0.317017201271584,-0.085338112973689
"X511",0.119312850897496,0,0,0,0,0
"X512",0.291256758543814,-0.0310488468109268,0,0.447959976596973,0.322295562001883,-0.0760146943011392
"X514",0.257091699888839,-0.0110273028369649,0,0,0.0500149565297505,-0.104316089960674
"X519",0.184290882365235,-0.0147545725646378,-0.0768545673939138,0,0.0715022033028445,-0.0882006621268147
"X598",0.159769856325537,-0.00824238289173488,-0.144974118061102,0.444487305918081,0,-0.550222999222328
"X602",0.159462586950777,-0.0354320378257841,0,-0.264453621268139,0.160965856483973,-0.229273146358765
"X604",0.124982022745484,-0.00482661877037289,0,0,0,0
"X605",0.161576038193368,-0.0195529710124604,-0.356110334137509,0.0352780234654899,0,0.00490315622849972
"X608",0.431431382292842,0.0343700681404819,0,-0.974362758412091,0.0673803428679817,-0.48490453449241
"X610",0,0.00424489616900981,0,0,0.16020424614986,-0.116444474627822
"X612",0.184327115963081,-0.0770576031201979,0,0,0.336502101987946,0
"X698",0.0867687575349806,-0.00751683675518809,2.74456026362302,3.70428581545925,2.54804704139198,-0.219712872340254
"X704",-0.0932390706759234,-0.00965681217396666,-0.662878982863147,-0.390665425780369,-0.913977631198205,-0.3602244438327
"X705",0.0533079904615522,-0.00475692536968049,0.0299963612948858,0,0,-0.0657880084926494
"X706",0,-0.00259615109729719,0,0,0,0
"X707",0.136380579840089,0.020708744347551,0,0,0,-0.298301032981315
"X708",-0.0171278084824629,0.00132041404255377,-0.238192554626665,0,0,-0.0894935837048992
"X709",0,-0.00666956100831377,0,0,0.195806298541837,0
"X710",0,-0.00566113770897259,0,0,0,0
"X711",0.242227749576806,0.0103670145826132,-0.0192204327483052,-2.50280962996349,0,-0.437532517801561
"X712",-0.00522147864352662,0.00434798209185205,-0.0242108105475453,0,0.223435458032139,-0.0738230279651891
"X713",-0.0225554321272533,0.00521576746755025,0,0,0.171193061621442,-0.06482934356196
"X714",0.0253979284184431,-0.00120204362461664,0,0,0,0
"X719",0,0,0,-0.806560839468476,0.0427262686030827,-0.251596387789135
"X798",0,0,0,0,0,0
"X803",0.273438855984654,-0.0112026858079468,2.37310623529321,-2.91295074389452,2.34196286869963,-0.202274670481151
"X809",0.139183227633282,-0.0109450548958881,0,-0.184763943760246,0,-0.235934837978569
"X898",0.164374802633436,-0.00853310831904679,0,-0.143775226698504,0,0
"X906",0.206909148305081,0,0,0,0,0
"X908",0.311445398070584,-0.00537055465821796,0.485417463802287,-0.601414145752472,0,0
"X911",0.159945352221495,0,0,0,-0.314792935004825,0
"X914",0.0770269128680017,-0.0151965182273519,0.350123636136083,-0.0149200519323582,0,-0.2195351125981
"X915",0.11530993226525,0.00971514861261622,1.8830823523669,-1.01338959998752,0,-0.166222852643347
"X916",0.0595008386824411,0.00352441022225244,0.245041351459191,-0.686624852051827,-1.37469903122742,-0.353261092531015
"X998",0.0653897532534189,0,0.360555751538198,0,0,0
"X1001",-0.13164315634315,-0.00182275881774857,-2.12728469574252,4.78873262712093,5.24998510065385,-1.63367086124771
"X1015",-0.0990081180367357,0.0113056255721779,-0.141889022562255,-6.84385708738045,-7.36581002187602,-0.173347790232997
"X1017",-0.0870807692591563,0.00197221795659595,-0.290463866648669,-6.09841289973614,-6.86725354356819,-0.541208258477929
"X1098",-0.0539004987730483,0,-0.421085888736021,0,0,-0.97980272159531
"X1105",0.132205832410796,0.0180059030786992,3.0340023392788,1.73967349818773,2.72289165452371,0.188187890846986
"X1106",0.270483682902133,0.0160763595408649,0.101023786290531,-1.21371502209148,0,-0.10980880975288
"X1108",0.0426597311322142,0.0130286523435954,0,0.626359985109639,0.170910752729303,-0.189285951630921
"X1110",0.0975720383600357,0.0179643720272836,0.179058205670805,-0.306828688480163,0,-0.0101685239452479
"X1111",0.164923261656945,-0.0216313483531488,2.59165832384533,3.0620547263499,2.98004648620534,-0.651835987273341
"X1112",0.105530779167799,0.00824473328856211,0,0,0,0
"X1113",0.32319456190559,0.019447245481524,0.707195072052214,0,0.579942530915377,0.00937819128748618
"X1117",-0.00239008234678832,-0.0548984893342128,1.24231875649367,0.604169791286966,1.24889740146403,0.105108056758251
"X1118",0.326278686097532,0.0146253151652893,2.08642367819107,-3.34254953613789,2.22713584923744,0.0585062177900249
"X1119",0.18967951298706,0.0102338268684993,0,0.418129708243225,0,0
"X1198",0.053128112033315,0.000762098343012044,0.808278326758542,0.97480523581667,0.869859959885891,-0.0409628461837526
"X1205",0.467404298312237,0,0,-0.445393185537439,0.18809163468378,-0.281648491858923
"X1210",0.175333467399584,-0.0188331353762794,0,0,0.416186745118351,-0.175009363815804
"X1211",0.391496644496782,0.0314982476630075,0,-0.364393915413139,0.0615646307128349,-0.444469328977943
"X1215",0.117629167361998,-0.00331760358843272,0,0.461427546165989,0.306048334351227,-0.1595691667641
"X1216",0.406217627636,0.00890965000078406,0.00432373435275619,0,0,0
"X1298",0.111474490037948,0,-0.107962314176841,0.420230261339438,0,-0.141489074523683
"X1304",0.0443413048111674,0,0,0,0,0
"X1305",0.29121637616761,-0.00779300069591481,0.0949053027159979,0,0,0
"X1307",0.157392300487134,-0.0156705386779263,-0.0950984812154431,-0.36741208150314,0,-0.281240756088033
"X1312",0.215031946586023,0.0139789644852507,0.0154895973004329,0.390214257194034,0,-0.0785674604675247
"X1407",0.143977189550905,0,0,-0.93878708057526,0,0
"X1598",0,0,-0.0124042374271535,-0.311153550997115,0,-0.404716660141022
"X1601",0.0525454822651694,0.00690290876090386,-0.018056869989415,0.444959787642691,0,0
"X1605",-0.0535098009136868,0.00306024069415678,0.357798661353471,0.102059252607518,0.408942053461731,0.220314304324954
"X1609",-0.130612087559884,0,0,0.0513487448494051,-0.0815140661315906,-0.293029877083801
