dog_id,hs_condition,days_from_present,months_from_present
10509,405,902,29.68
10509,1113,1480,48.68
74227,426,933,30.68
74227,1622,1207,39.68
32487,201,1055,34.68
32487,205,1055,34.68
32487,305,1998,65.68
32487,313,5285,173.68
32487,428,1998,65.68
32487,1801,1025,33.68
63150,423,1725,56.68
33369,1605,1421,46.68
33369,1634,1511,49.68
33369,1801,1268,41.68
72814,304,994,32.68
72814,998,933,30.68
72448,305,3247,106.68
72448,504,933,30.68
98151,1614,690,22.68
98151,1619,3612,118.68
98151,1622,3612,118.68
98151,1640,3612,118.68
98151,1703,2333,76.68
76173,1801,3337,109.68
41276,304,568,18.68
41276,1304,568,18.68
82000,1804,2972,97.68
7580,1304,1968,64.68
7580,1812,1330,43.68
37013,1312,1725,56.68
37013,1705,1876,61.68
59622,713,1756,57.68
81907,102,721,23.68
81907,1117,3064,100.68
81907,1701,1695,55.68
85097,1198,3033,99.68
85097,108,1055,34.68
85097,304,1695,55.68
85097,305,1695,55.68
85097,1105,1115,36.68
85097,1110,3094,101.68
85097,1112,902,29.68
4851,205,1115,36.68
4851,307,1633,53.68
4851,411,872,28.68
4851,432,994,32.68
4851,898,872,28.68
4851,1622,1238,40.68
40687,1598,2182,71.68
40687,202,1360,44.68
40687,304,1817,59.68
40687,1617,2486,81.68
40687,1816,1146,37.68
97071,101,872,28.68
97071,201,1511,49.68
97071,304,1511,49.68
97071,408,902,29.68
97071,423,841,27.68
97071,705,4160,136.68
97071,708,994,32.68
97071,1205,902,29.68
97071,1216,902,29.68
97071,1615,994,32.68
58481,1630,1725,56.68
60866,304,1756,57.68
60866,1623,3186,104.68
60866,1801,1421,46.68
60866,1898,872,28.68
86996,102,933,30.68
86996,205,994,32.68
86996,305,872,28.68
86996,709,4525,148.68
86996,714,4525,148.68
81878,408,902,29.68
81878,1605,2060,67.68
81878,1817,1360,44.68
73822,304,964,31.68
4991,426,933,30.68
4991,1198,1817,59.68
4991,1812,964,31.68
4991,1817,964,31.68
98084,304,780,25.68
98084,305,780,25.68
98084,406,749,24.68
98084,712,2668,87.68
98084,1312,2668,87.68
13220,412,2760,90.68
13220,708,2699,88.68
13220,713,3186,104.68
13220,1703,964,31.68
13220,1812,3398,111.68
81638,407,902,29.68
81638,1118,1725,56.68
81638,1414,1603,52.68
30845,205,1146,37.68
30845,304,964,31.68
30845,305,964,31.68
30845,1106,1146,37.68
30845,1801,2121,69.68
30845,1817,2121,69.68
50472,306,3156,103.68
50472,407,2060,67.68
50472,504,1330,43.68
50472,1105,2182,71.68
50472,1801,3247,106.68
7426,906,1177,38.68
7426,1704,1177,38.68
7426,1817,1330,43.68
44458,1616,1695,55.68
6380,304,1633,53.68
35215,1816,1115,36.68
55951,712,2668,87.68
55951,1703,1360,44.68
10736,305,2941,96.68
10736,1809,1998,65.68
47203,301,2272,74.68
47203,302,2272,74.68
3854,304,629,20.68
3854,307,629,20.68
3854,409,4798,157.68
3854,410,2607,85.68
3854,908,1845,60.68
3854,915,1511,49.68
3854,916,1511,49.68
3854,1902,4798,157.68
2650,102,1876,61.68
2650,205,1876,61.68
2650,504,1876,61.68
2650,519,1876,61.68
2650,1113,1876,61.68
2650,1634,6139,201.68
2650,1637,6016,197.68
2650,1803,3977,130.68
2650,1804,5012,164.68
2650,1813,1268,41.68
2650,1815,3156,103.68
47405,406,1055,34.68
85746,1110,2576,84.68
85746,1601,2638,86.68
1485,406,3125,102.68
1485,714,3490,114.68
1485,1617,1115,36.68
1485,1637,3582,117.68
58788,698,5743,188.68
58788,304,1025,33.68
58788,305,1025,33.68
58788,307,933,30.68
58788,504,1756,57.68
58788,1898,2729,89.68
93573,203,1146,37.68
93573,304,1603,52.68
93573,305,1603,52.68
93573,306,1603,52.68
93573,410,1146,37.68
93573,411,1146,37.68
93573,424,1086,35.68
93573,426,1452,47.68
93573,1312,994,32.68
101896,104,1480,48.68
101896,109,1025,33.68
101896,112,1480,48.68
101896,198,1480,48.68
101896,205,721,23.68
101896,304,690,22.68
101896,305,690,22.68
101896,307,690,22.68
101896,1113,1055,34.68
101896,1304,933,30.68
84142,202,2060,67.68
84142,1627,1330,43.68
3529,304,4617,151.68
3529,305,4890,160.68
3529,306,4951,162.68
3529,398,4982,163.68
3529,1105,2363,77.68
3529,1112,2363,77.68
3529,1113,1998,65.68
3529,1605,4920,161.68
3529,1622,4951,162.68
3529,1634,4951,162.68
3529,1640,4951,162.68
3529,1801,4890,160.68
3529,1812,4767,156.68
44789,1198,3977,130.68
44789,712,2210,72.68
44789,1117,3977,130.68
68354,1114,1511,49.68
68354,1616,1542,50.68
68354,1622,1542,50.68
83240,202,1845,60.68
79793,498,1572,51.68
79793,713,1146,37.68
79793,1798,2241,73.68
14311,202,4525,148.68
14311,406,4525,148.68
14311,504,1177,38.68
14311,698,1115,36.68
14311,915,1177,38.68
14311,1412,1756,57.68
14311,1617,4586,150.68
14311,1703,1725,56.68
68318,1701,964,31.68
88409,410,1695,55.68
88409,1812,1968,64.68
88409,1816,1968,64.68
72028,498,5073,166.68
72028,608,2060,67.68
72028,610,1511,49.68
72028,916,3916,128.68
72028,1113,2882,94.68
72028,1211,2060,67.68
72028,1617,4374,143.68
72028,1813,4708,154.68
72028,1816,3551,116.68
100120,1006,1845,60.68
100120,1617,2913,95.68
100120,1622,2913,95.68
100120,1801,629,20.68
5286,424,4678,153.68
5286,1105,1511,49.68
5286,1813,3156,103.68
72889,1198,2638,86.68
72889,304,902,29.68
72889,423,2547,83.68
72889,914,2486,81.68
72889,1110,2547,83.68
4275,304,1086,35.68
4275,1704,1268,41.68
4275,1805,1664,54.68
101864,1701,1603,52.68
101864,1815,1998,65.68
84091,202,1086,35.68
84091,304,1480,48.68
84091,412,1391,45.68
84091,708,1146,37.68
32210,412,1664,54.68
32210,610,1542,50.68
32210,1617,2029,66.68
32210,1801,1086,35.68
32210,1812,1115,36.68
96127,102,3125,102.68
96127,202,4555,149.68
96127,304,4068,133.68
96127,305,4068,133.68
96127,407,2729,89.68
96127,411,5012,164.68
96127,803,721,23.68
96127,1801,3521,115.68
43176,108,1177,38.68
59144,203,1238,40.68
59144,1605,872,28.68
59144,1801,964,31.68
66307,426,994,32.68
78602,202,1603,52.68
78602,410,3490,114.68
78602,916,1115,36.68
78602,1898,3459,113.68
73375,202,1360,44.68
73375,423,2516,82.68
78065,798,2760,90.68
78065,304,1025,33.68
78065,307,1025,33.68
78065,705,902,29.68
78065,916,902,29.68
78065,1015,902,29.68
78065,1616,2729,89.68
87273,1812,872,28.68
34475,304,964,31.68
34475,305,964,31.68
34475,307,964,31.68
85745,398,3551,116.68
85745,405,3337,109.68
85745,426,3337,109.68
85745,428,2729,89.68
42476,1705,1055,34.68
63794,102,1511,49.68
63794,803,1086,35.68
63794,1118,1876,61.68
65420,1817,1542,50.68
92020,198,4678,153.68
92020,798,2210,72.68
92020,1708,2090,68.68
92020,1817,2607,85.68
92020,1898,1968,64.68
94987,1617,933,30.68
55871,504,2852,93.68
55871,1105,1238,40.68
55871,1605,5863,192.68
