dog_id,dd_age_years,dd_weight_lbs,recode.sex_2,recode.sex_3,recode.sex_4,mixed.breed
10509,16.33333333,33,1,0,0,1
74227,1.833333333,44,1,0,0,1
32487,13,20,0,0,1,0
63150,13,65,0,0,1,1
33369,2.166666667,34.8,0,0,1,1
72814,4.833333333,91,1,0,0,1
72448,10.58333333,15,1,0,0,0
98151,9,78,0,0,1,1
76173,6.25,87,0,0,1,1
41276,3.166666667,48,0,0,1,0
82000,7,9.2,1,0,0,1
7580,7.166666667,23,0,0,1,0
37013,3.5,38,0,0,1,1
59622,4.75,70,0,0,1,0
81907,12.75,5.4,1,0,0,0
85097,6.583333333,118,0,0,1,0
4851,13.75,55,0,0,1,1
40687,4.666666667,64,0,0,1,0
97071,17.75,29,1,0,0,1
58481,2.5,72,0,0,1,1
60866,8.75,59,1,0,0,0
86996,13.83333333,7.8,1,0,0,0
81878,4.916666667,38,0,0,1,0
73822,6,10,1,0,0,1
4991,4.75,61,0,0,1,1
98084,11,79,0,0,1,0
13220,7.333333333,70.2,0,0,1,1
81638,7.916666667,82,0,0,1,0
30845,14,11,1,0,0,0
50472,9.333333333,27,0,0,1,0
7426,11.5,53,1,0,0,1
44458,2.666666667,89,1,0,0,0
6380,13.58333333,46,1,0,0,0
35215,3.25,66,0,0,0,0
55951,5.416666667,45,0,0,1,1
10736,11.83333333,4,0,0,1,0
3854,15.5,42,1,0,0,1
2650,14,36,1,0,0,0
47405,4.75,68,0,0,1,0
85746,6.5,97.7,1,0,0,1
1485,8,80.2,0,0,1,1
58788,13.33333333,9,0,0,1,0
93573,8,23,0,0,1,0
101896,14,12.6,1,0,0,1
84142,5.25,70,0,0,0,0
3529,11.5,17.2,1,0,0,1
44789,8.333333333,10.8,1,0,0,1
68354,2.166666667,120,0,0,1,1
83240,7.083333333,21,0,0,1,0
79793,4.25,31.4,1,0,0,0
14311,12,64,1,0,0,1
68318,3,32,0,0,1,1
88409,8.916666667,60,0,0,1,1
72028,15.33333333,52,1,0,0,0
100120,7.083333333,16,1,0,0,0
5286,13,89,0,0,1,1
72889,5.416666667,53,0,0,1,1
4275,2.166666667,35,0,0,1,1
101864,6.083333333,118,0,0,1,0
84091,2.416666667,44,0,0,0,0
32210,3,71,0,0,1,0
96127,16,11,0,1,0,1
43176,2.666666667,96,0,0,1,1
59144,2.333333333,67,1,0,0,1
66307,4,61,1,0,0,0
78602,14.08333333,19.2,1,0,0,0
73375,12.08333333,36,0,0,1,1
78065,4.583333333,53,1,0,0,0
87273,1.583333333,78,0,0,1,1
34475,12,22,1,0,0,1
85745,14.66666667,74,1,0,0,0
42476,0.75,20,0,0,0,1
63794,14,51.4,1,0,0,1
65420,11.33333333,71,0,0,1,0
92020,11,53.4,0,0,1,0
94987,0.75,12,0,0,1,0
55871,12.83333333,53,1,0,0,1
29345,14.75,13,1,0,0,1
90006,8.666666667,88,1,0,0,1
51348,1.5,19,1,0,0,0
51049,9.916666667,57,1,0,0,1
8875,0.75,63,0,0,0,0
97803,4.833333333,60,0,0,1,0
48626,2.333333333,70,0,0,1,0
63300,3.166666667,130,1,0,0,0
10607,6.666666667,42.2,0,0,1,0
29044,1.583333333,17.6,0,1,0,1
7154,14.08333333,8,1,0,0,1
89925,5,85,1,0,0,1
50115,14,7,1,0,0,0
60759,2.583333333,34,0,0,1,1
6441,10.91666667,20,0,0,1,0
79834,8.166666667,35,1,0,0,0
5240,11.16666667,29,1,0,0,0
45805,7,75,1,0,0,1
28324,14,42,1,0,0,1
17268,11.33333333,32,0,0,1,0
58977,5.333333333,63,1,0,0,1
15557,8.083333333,6,1,0,0,0
102685,1.5,57.4,1,0,0,1
72205,11.75,52,1,0,0,0
60642,9,83,0,0,1,1
69116,1.416666667,70,0,0,1,1
4114,7,62.9,1,0,0,0
64678,5.083333333,73,0,0,1,0
33038,2.666666667,30,1,0,0,1
72234,1.666666667,66,0,0,1,0
69397,12.16666667,52,0,0,1,1
3476,9.916666667,23,0,0,1,0
20897,1.5,54,1,0,0,0
42137,11.41666667,32,1,0,0,0
80393,12.25,41,1,0,0,1
31125,12.83333333,12.5,0,1,0,0
60016,8,18,0,0,1,0
54244,9.333333333,57,0,0,1,0
